# PDM Database Schema Snapshot
# Server: CORP1434-LAP\OPTIMA
# Database: PDM

## Query Batch 1

SchemaName	TableName	ColumnName	DataType	MaxLength	precision	scale	is_nullable
--------------------------------------------------------------------------------
dbo	CATEGORIES	ID	int	4	10	0	False
dbo	CATEGORIES	CATEGORIES	varchar	100	0	0	True
dbo	Clk1Test	ADate	datetime	8	23	3	True
dbo	Clk1Test	Sio2	float	8	53	0	True
dbo	Clk1Test	Al2O3	float	8	53	0	True
dbo	Clk1Test	Fe2O3	float	8	53	0	True
dbo	Clk1Test	CaO	float	8	53	0	True
dbo	Clk1Test	MgO	float	8	53	0	True
dbo	Clk1Test	SO3	float	8	53	0	True
dbo	Clk1Test	Na2O	float	8	53	0	True
dbo	Clk1Test	K2O	float	8	53	0	True
dbo	Clk1Test	Cl	float	8	53	0	True
dbo	Clk1Test	LSF	float	8	53	0	True
dbo	Clk1Test	SM	float	8	53	0	True
dbo	Clk1Test	AM	float	8	53	0	True
dbo	Clk1Test	C3S	float	8	53	0	True
dbo	Clk1Test	C2S	float	8	53	0	True
dbo	Clk1Test	C4AF	float	8	53	0	True
dbo	Clk1Test	C3A	float	8	53	0	True
dbo	CM1_CM2_Current_Feed	Cm1	int	4	10	0	True
dbo	CM1_CM2_Current_Feed	Cm2	int	4	10	0	True
dbo	Columnnametables	CID	int	4	10	0	False
dbo	Columnnametables	FTID	int	4	10	0	True
dbo	Columnnametables	ColumnName	varchar	100	0	0	True
dbo	Columnnametables	AName	varchar	50	0	0	True
dbo	Cons_prod	Date_Time	datetime	8	23	3	False
dbo	Cons_prod	Pu	varchar	30	0	0	False
dbo	Cons_prod	tag	varchar	50	0	0	False
dbo	Cons_prod	Description	varchar	100	0	0	True
dbo	Cons_prod	Pu_ID	int	4	10	0	True
dbo	Cons_prod	Tag_ID	int	4	10	0	True
dbo	Cons_prod	Prod_Value	int	4	10	0	True
dbo	DAILY_PROD_DTL	PDate	datetime	8	23	3	False
dbo	DAILY_PROD_DTL	PU	varchar	16	0	0	True
dbo	DAILY_PROD_DTL	TAG	varchar	20	0	0	False
dbo	DAILY_PROD_DTL	tag_Description	varchar	150	0	0	True
dbo	DAILY_PROD_DTL	VALUE	numeric	13	20	5	True
dbo	DC_Information	ID	int	4	10	0	False
dbo	DC_Information	Type	varchar	50	0	0	True
dbo	DC_Information	Server	varchar	50	0	0	True
dbo	DC_Information	Mode	int	4	10	0	True
dbo	DC_Information	Source	varchar	50	0	0	True
dbo	DC_Information	Scaling	int	4	10	0	True
dbo	DC_Information	Driver	varchar	100	0	0	True
dbo	Dc1config	TagName	varchar	50	0	0	False
dbo	Dc1config	Address	varchar	200	0	0	True
dbo	Dc1config	Description	varchar	200	0	0	True
dbo	Dc1config	FilterFlag	bit	1	1	0	True
dbo	Dc1config	FilterValue	decimal	5	8	2	True
dbo	Dc1config	MinMaxVal	bit	1	1	0	True
dbo	Dc1config	Vmin	numeric	13	20	5	True
dbo	Dc1config	Vmax	numeric	13	20	5	True
dbo	Dc1config	ValNonupd	bit	1	1	0	True
dbo	Dc1config	Process_Min	numeric	5	7	2	True
dbo	Dc1config	Process_Max	numeric	5	7	2	True
dbo	Dc1config	Counts_Min	numeric	5	7	2	True
dbo	Dc1config	Counts_Max	numeric	5	7	2	True
dbo	Dc1corp	DateAndTime	datetime	8	23	3	False
dbo	Dc1corp	K1_Feed	decimal	17	30	3	True
dbo	Dc1corp	K1_BucketElevatorCurrent	decimal	17	30	3	True
dbo	Dc1corp	K1_Speed	decimal	17	30	3	True
dbo	Dc1corp	K1_Current	decimal	17	30	3	True
dbo	Dc1corp	K1_InletSO2	decimal	17	30	3	True
dbo	Dc1corp	K1_InletCO	decimal	17	30	3	True
dbo	Dc1corp	K1_InletO2	decimal	17	30	3	True
dbo	Dc1corp	K1_InletNO	decimal	17	30	3	True
dbo	Dc1corp	K1_PrecalOutletCO	decimal	17	30	3	True
dbo	Dc1corp	K1_PrecalO2	decimal	17	30	3	True
dbo	Dc1corp	K1_InletTemp	decimal	17	30	3	True
